word,cefr,part_of_speech,definition,example,phonetic,audio_url,source_url
board,A1,noun,A board is a group of people who govern something.,The school board has chosen new textbooks for all the schools.,/bɔː(r)d/,https://commons.wikimedia.org/wiki/Special:Redirect/file/en-us-board.ogg,https://en.wiktionary.org/wiki/board
boat,A1,noun,A boat is a vehicle used to travel on water.,"At the lake, the children learn about fishing and boat safety.",/boʊt/,https://commons.wikimedia.org/wiki/Special:Redirect/file/en-us-boat.ogg,https://en.wiktionary.org/wiki/boat
body,A1,noun,"A body is the main part of a person, animal, physical object, or organisation.","After falling out of the tree, his arm was broken and his body hurt all over.",/ˈbɑdi/,https://commons.wikimedia.org/wiki/Special:Redirect/file/en-us-body.ogg,https://en.wiktionary.org/wiki/body
bone,A1,noun,"Bones are the hard, white things inside your body. They give your body its shape.",How many bones did a dinosaur have?,/bəʊn/,https://commons.wikimedia.org/wiki/Special:Redirect/file/en-us-bone.ogg,https://en.wiktionary.org/wiki/bone
book,A1,noun,A book is a lot of paper joined together with writing and pictures printed on them for you to read or write in.,"I borrow books from the library, and keep them in a bookcase.",/bʊk/,https://commons.wikimedia.org/wiki/Special:Redirect/file/en-us-book.ogg,https://en.wiktionary.org/wiki/book
bookstore,A1,noun,A bookstore is a store that sells books.,Which bookstore do you wish to go to?,/ˈbʊkstɔː/,https://commons.wikimedia.org/wiki/Special:Redirect/file/LL-Q1860%20%28eng%29-Wodencafe-bookstore.wav,https://en.wiktionary.org/wiki/bookstore
boring,A1,adjective,"If something is boring, it is not interesting or makes you want to do something else.","Go to work, come home, sleep: life is so boring.",/ˈbɔːrɪŋ/,https://commons.wikimedia.org/wiki/Special:Redirect/file/en-us-boring.ogg,https://en.wiktionary.org/wiki/boring
borrow,A1,verb,"If you borrow something from someone, you use it and then you give it back to them.",Governments need to make it easier for students to borrow money for school.,/ˈbɑroʊ/,https://commons.wikimedia.org/wiki/Special:Redirect/file/en-us-borrow.ogg,https://en.wiktionary.org/wiki/borrow
both,A1,determiner,"When there are two things, both is the first thing and the second thing.",Jim took both the apple and the orange.,/boʊθ/,https://commons.wikimedia.org/wiki/Special:Redirect/file/en-us-both.ogg,https://en.wiktionary.org/wiki/both
bottle,A1,noun,"A bottle is a container, usually made of glass that holds liquid and has a cap or stopper.",He drank cold water from a plastic bottle.,/ˈbɑtəl/,https://commons.wikimedia.org/wiki/Special:Redirect/file/en-us-bottle.ogg,https://en.wiktionary.org/wiki/bottle
bottom,A1,noun,The bottom of something is its lowest part.,Lucy took a pen and wrote her name at the bottom of the page.,/ˈbɑtəm/,https://commons.wikimedia.org/wiki/Special:Redirect/file/en-us-bottom.ogg,https://en.wiktionary.org/wiki/bottom
bowl,A1,noun,A bowl is a deep dish.,"In large mixing bowl, stir together flours, baking powder, and salt until thoroughly combined.",/boʊl/,https://commons.wikimedia.org/wiki/Special:Redirect/file/en-us-bowl.ogg,https://en.wiktionary.org/wiki/bowl
box,A1,noun,"A box is a square container, usually with four sides, a top and a bottom.",We had big cardboard boxes filled with the stuff.,/bɑːks/,https://commons.wikimedia.org/wiki/Special:Redirect/file/en-us-box.ogg,https://en.wiktionary.org/wiki/box
boy,A1,noun,A boy is a male child or teenager; someone who is not a man yet.,He had a pretty wife and two little ones: a boy and a girl.,/bɔɪ/,https://commons.wikimedia.org/wiki/Special:Redirect/file/en-us-boy.ogg,https://en.wiktionary.org/wiki/boy
boyfriend,A1,noun,"Boyfriend normally describes a boy or a young man, who is in a love relationship with another person, when they aren't married yet.","I didn't have a boyfriend, and I thought that it was because I was too fat.",/ˈbɔɪˌfrɛnd/,https://commons.wikimedia.org/wiki/Special:Redirect/file/en-us-boyfriend.ogg,https://en.wiktionary.org/wiki/boyfriend
brain,A1,noun,Your brain is the part of your body that is inside your head.,The brain is the part of the body that thinks and controls the rest of the body through the nervous system.,/breɪn/,https://commons.wikimedia.org/wiki/Special:Redirect/file/en-us-brain.ogg,https://en.wiktionary.org/wiki/brain
bread,A1,noun,"Bread is food made from mixing flour, water, and yeast.",Small children love eating bread and butter.,/brɛd/,https://commons.wikimedia.org/wiki/Special:Redirect/file/en-us-bread.ogg,https://en.wiktionary.org/wiki/bread
break,A1,verb,"If you break something, you make it come apart in a way that cannot easily be put back together, usually by force.",He injured his leg and broke his foot during the crash.,/breɪk/,https://commons.wikimedia.org/wiki/Special:Redirect/file/en-us-break.ogg,https://en.wiktionary.org/wiki/break
breakfast,A1,noun,Breakfast is the first meal that we eat in the morning.,I'm late for school. I don't have time for breakfast today.,/ˈbrɛkfəst/,https://commons.wikimedia.org/wiki/Special:Redirect/file/en-us-breakfast.ogg,https://en.wiktionary.org/wiki/breakfast
bridge,A1,noun,"Anything which avoids something which blocks a path, usually water, by going over the top of it.",The Golden Gate Bridge connects the two sides of California.,/brɪdʒ/,https://commons.wikimedia.org/wiki/Special:Redirect/file/en-us-bridge.ogg,https://en.wiktionary.org/wiki/bridge
bright,A1,adjective,If something is bright it gives out or fills with much light.,The sun is very bright during summer.,/braɪt/,https://commons.wikimedia.org/wiki/Special:Redirect/file/en-us-bright.ogg,https://en.wiktionary.org/wiki/bright
bring,A1,verb,"When you say ""you bring"" something to someone, you carry it with you to that someone.",You bring lunch to me every day.,/ˈbrɪŋ/,https://commons.wikimedia.org/wiki/Special:Redirect/file/en-us-bring.ogg,https://en.wiktionary.org/wiki/bring
broken,A1,adjective,Something that is broken is not as it should be because it has been damaged or injured,The broken cup lay in pieces on the floor.,/ˈbrəʊkən/,https://commons.wikimedia.org/wiki/Special:Redirect/file/en-us-broken.ogg,https://en.wiktionary.org/wiki/broken
brother,A1,noun,Your brother is another male child of one or both of your parents.,Two sisters and their brother played in the park yesterday,/ˈbrʌðə(r)/,https://commons.wikimedia.org/wiki/Special:Redirect/file/en-us-brother.ogg,https://en.wiktionary.org/wiki/brother
brush,A1,verb,"If you brush something, you clean it with a brush.",I forgot to brush my teeth before going to bed.,/brʌʃ/,https://commons.wikimedia.org/wiki/Special:Redirect/file/en-us-brush.ogg,https://en.wiktionary.org/wiki/brush
build,A1,verb,"If you build something, you make it out of pieces of other things.",I built the house with wood and stone.,/bɪld/,https://commons.wikimedia.org/wiki/Special:Redirect/file/en-us-build.ogg,https://en.wiktionary.org/wiki/build
building,A1,noun,"A building consists of walls, a foundation and a roof that together close in some space.",I work in the Chrysler Building.,/ˈbɪldɪŋ/,https://commons.wikimedia.org/wiki/Special:Redirect/file/en-us-building.ogg,https://en.wiktionary.org/wiki/building
bus,A1,noun,A bus is a vehicle that carries a large number of people on roads.,"He ran to catch the school bus, which had stopped at a corner to pick up more kids.",/ˈbʌs/,https://commons.wikimedia.org/wiki/Special:Redirect/file/en-us-bus.ogg,https://en.wiktionary.org/wiki/bus
business,A1,noun,Business is the buying and selling of things or services.,I am in the business of catching fish and selling them.,/ˈbɪz.nɪs/,https://commons.wikimedia.org/wiki/Special:Redirect/file/en-us-business.ogg,https://en.wiktionary.org/wiki/business
